Year,Month,ParentSKU,Net Sales calculated
2018,2,F0113,402289
2018,2,F0140,580745
2018,2,F0147,647219
2018,2,F0167,823680
2018,2,F0168,533113
2018,2,F0193,2330644
2018,2,F0194,1759555
2018,2,F0196,749548
2018,2,F0199,693172
2018,2,F0201,934961
2018,2,F0202,1220813
2018,2,F0204,831288
2018,2,F0206,914416
2018,2,F0207,636012
2018,2,F0210,568279
2018,2,F0212,1652388
2018,2,F0214,1581574
2018,2,F0215,1174124
2018,2,F0216,736796
2018,2,F0217,850973
2018,2,F0218,682223
2018,2,F0232,1192408
2018,2,F0233,950707
2018,2,F0306,1667640
2018,2,F0307,1339712
2018,2,F0311,1152058
2018,2,F0319,1314084
2018,2,F0320,1014944
2018,2,F0321,920878
2018,2,F0328,870888
2018,2,F0365,793347
2018,2,F0367,896846
2018,2,F0369,677014
2018,2,F0371,1154096
2018,2,F0387,2338898
2018,2,T0270,884585
2018,3,F0033,4622109
2018,3,F0034,5906238
2018,3,F0089,5220797
2018,3,F0091,1802283
2018,3,F0094,2957412
2018,3,F0098,2793926
2018,3,F0099,3890821
2018,3,F0101,1292398
2018,3,F0112,465977
2018,3,F0113,1117167
2018,3,F0140,457840
2018,3,F0147,708863
2018,3,F0167,1482902
2018,3,F0168,418098
2018,3,F0193,1305749
2018,3,F0194,1940096
2018,3,F0196,732400
2018,3,F0199,797694
2018,3,F0201,1146805
2018,3,F0202,1493319
2018,3,F0204,1267398
2018,3,F0206,921406
2018,3,F0207,839089
2018,3,F0210,897329
2018,3,F0212,1499184
2018,3,F0214,1612904
2018,3,F0215,1598547
2018,3,F0216,805362
2018,3,F0217,1463324
2018,3,F0218,1277639
2018,3,F0232,1262132
2018,3,F0233,871722
2018,3,F0306,2200001
2018,3,F0307,1603283
2018,3,F0311,1587579
2018,3,F0319,998714
2018,3,F0320,801076
2018,3,F0321,991687
2018,3,F0328,896627
2018,3,F0365,869339
2018,3,F0367,1358419
2018,3,F0369,918067
2018,3,F0371,953647
2018,3,F0387,2020111
2018,3,T0270,2241707
2018,4,F0033,2929991
2018,4,F0034,4201125
2018,4,F0089,3920905
2018,4,F0091,1622222
2018,4,F0094,2126099
2018,4,F0098,1643675
2018,4,F0099,2703984
2018,4,F0101,1073095
2018,4,F0112,759258
2018,4,F0113,172662
2018,4,F0140,522765
2018,4,F0147,1017616
2018,4,F0167,901269
2018,4,F0168,430316
2018,4,F0193,943534
2018,4,F0194,1761237
2018,4,F0196,871191
2018,4,F0199,751095
2018,4,F0201,916530
2018,4,F0202,1205706
2018,4,F0204,1289045
2018,4,F0206,558907
2018,4,F0207,786953
2018,4,F0210,716480
2018,4,F0212,1881301
2018,4,F0214,1838336
2018,4,F0215,1514161
2018,4,F0216,1235779
2018,4,F0217,590291
2018,4,F0218,740422
2018,4,F0232,1036256
2018,4,F0233,846604
2018,4,F0306,2150653
2018,4,F0307,1631851
2018,4,F0311,1768868
2018,4,F0319,995886
2018,4,F0320,713943
2018,4,F0321,842796
2018,4,F0328,749959
2018,4,F0365,817674
2018,4,F0367,1147083
2018,4,F0369,949876
2018,4,F0371,1024236
2018,4,F0387,1695023
2018,4,T0270,721850
2018,5,F0033,2575914
2018,5,F0034,3595790
2018,5,F0089,4535845
2018,5,F0091,1861759
2018,5,F0094,2295334
2018,5,F0098,2088287
2018,5,F0099,3844612
2018,5,F0101,1138827
2018,5,F0112,867756
2018,5,F0113,1305534
2018,5,F0140,656313
2018,5,F0147,816348
2018,5,F0167,1473255
2018,5,F0168,488901
2018,5,F0193,1087666
2018,5,F0194,1539480
2018,5,F0196,683627
2018,5,F0199,645923
2018,5,F0201,1044798
2018,5,F0202,1281313
2018,5,F0204,1011617
2018,5,F0206,744123
2018,5,F0207,706941
2018,5,F0210,764332
2018,5,F0212,1924902
2018,5,F0214,1597785
2018,5,F0215,1858106
2018,5,F0216,967259
2018,5,F0217,1422572
2018,5,F0218,1580614
2018,5,F0232,1044105
2018,5,F0233,804458
2018,5,F0306,2174404
2018,5,F0307,1921718
2018,5,F0311,1347964
2018,5,F0319,1186883
2018,5,F0320,647366
2018,5,F0321,898419
2018,5,F0328,1214597
2018,5,F0365,1184249
2018,5,F0367,1648664
2018,5,F0369,846752
2018,5,F0371,1158602
2018,5,F0387,1694403
2018,5,F0469,3081961
2018,5,F0470,3080087
2018,5,T0270,836163
2018,6,F0033,5320229
2018,6,F0034,6279613
2018,6,F0089,8178163
2018,6,F0091,2952784
2018,6,F0094,3194046
2018,6,F0098,4140963
2018,6,F0099,5327579
2018,6,F0101,1604200
2018,6,F0112,556369
2018,6,F0113,911152
2018,6,F0140,733730
2018,6,F0147,839050
2018,6,F0167,1663281
2018,6,F0168,402748
2018,6,F0193,886794
2018,6,F0194,1773327
2018,6,F0196,681658
2018,6,F0199,684227
2018,6,F0201,1240346
2018,6,F0202,1293000
2018,6,F0204,1157826
2018,6,F0206,840142
2018,6,F0207,829988
2018,6,F0210,741383
2018,6,F0212,1960143
2018,6,F0214,1537868
2018,6,F0215,1850051
2018,6,F0216,1282861
2018,6,F0217,1405514
2018,6,F0218,1458576
2018,6,F0232,1140934
2018,6,F0233,859822
2018,6,F0306,2883288
2018,6,F0307,2294974
2018,6,F0311,1840720
2018,6,F0319,1534557
2018,6,F0320,721171
2018,6,F0321,1383898
2018,6,F0328,1047128
2018,6,F0365,1081165
2018,6,F0367,1429517
2018,6,F0369,1358174
2018,6,F0371,1757302
2018,6,F0387,2261006
2018,6,F0469,2321367
2018,6,F0470,2390723
2018,6,T0270,1796990
2018,7,F0033,2880581
2018,7,F0034,3777770
2018,7,F0089,8072055
2018,7,F0091,1499243
2018,7,F0094,2426523
2018,7,F0098,2209560
2018,7,F0099,3296687
2018,7,F0101,1502214
2018,7,F0112,928570
2018,7,F0113,824661
2018,7,F0140,456370
2018,7,F0147,937397
2018,7,F0167,1268248
2018,7,F0168,297898
2018,7,F0193,1010051
2018,7,F0194,1556030
2018,7,F0196,409303
2018,7,F0199,615942
2018,7,F0201,668702
2018,7,F0202,1072182
2018,7,F0204,888589
2018,7,F0206,628808
2018,7,F0207,614065
2018,7,F0210,629891
2018,7,F0212,1411853
2018,7,F0214,1073200
2018,7,F0215,1323593
2018,7,F0216,686410
2018,7,F0217,929325
2018,7,F0218,887983
2018,7,F0232,794327
2018,7,F0233,702401
2018,7,F0306,3151204
2018,7,F0307,2340112
2018,7,F0311,2315698
2018,7,F0319,1589172
2018,7,F0320,794354
2018,7,F0321,1434984
2018,7,F0328,1313033
2018,7,F0365,834199
2018,7,F0367,1342837
2018,7,F0369,908170
2018,7,F0371,1318848
2018,7,F0387,1762251
2018,7,F0469,3112019
2018,7,F0470,2021455
2018,7,T0270,1030707
2018,8,F0033,2700577
2018,8,F0034,3443027
2018,8,F0089,6282344
2018,8,F0091,2041876
2018,8,F0094,2202097
2018,8,F0098,2269815
2018,8,F0099,3840720
2018,8,F0101,1188578
2018,8,F0112,637174
2018,8,F0113,836594
2018,8,F0140,576345
2018,8,F0147,962395
2018,8,F0167,1314734
2018,8,F0168,405060
2018,8,F0193,1302890
2018,8,F0194,1787443
2018,8,F0196,499670
2018,8,F0199,556707
2018,8,F0201,1181259
2018,8,F0202,1284681
2018,8,F0204,870070
2018,8,F0206,590339
2018,8,F0207,664139
2018,8,F0210,553041
2018,8,F0212,2087753
2018,8,F0214,1431717
2018,8,F0215,1869193
2018,8,F0216,1397498
2018,8,F0217,1133016
2018,8,F0218,1241134
2018,8,F0232,928449
2018,8,F0233,739915
2018,8,F0306,2731958
2018,8,F0307,2013843
2018,8,F0311,2187528
2018,8,F0319,1844422
2018,8,F0320,674391
2018,8,F0321,1349893
2018,8,F0328,1184915
2018,8,F0365,1617276
2018,8,F0367,2770969
2018,8,F0369,1911179
2018,8,F0371,2210025
2018,8,F0387,1750863
2018,8,F0469,2600637
2018,8,F0470,1634215
2018,8,T0270,814143
2018,9,F0033,3073015
